"Gridcode","species"
101635,"Ovis ammon"
101635,"Phaiomys leucurus"
101635,"Equus kiang"
101635,"Ochotona macrotis"
101635,"Ochotona roylii"
101635,"Lepus oiostolus"
101635,"Mustela altaica"
101635,"Vulpes ferrilata"
101635,"Panthera uncia"
101635,"Pseudois nayaur"
101635,"Cuon alpinus"
101635,"Barbastella darjelingensis"
101635,"Plecotus wardi"
101635,"Alticola stoliczkanus"
101635,"Urocricetus alticola"
101635,"Marmota himalayana"
101635,"Niviventer fulvescens"
101635,"Rattus tanezumi"
101635,"Rattus pyctoris"
101635,"Lynx lynx"
101635,"Crocidura attenuata"
101635,"Ochotona curzoniae"
101635,"Ursus thibetanus"
101635,"Otocolobus manul"
101635,"Apodemus pallipes"
101635,"Vulpes vulpes"
101635,"Mus musculus"
101635,"Prionailurus bengalensis"
101635,"Catopuma temminckii"
101635,"Canis lupus"
101635,"Canis lupus ssp. chanco"
101635,"Martes foina"
101635,"Mustela sibirica"
101635,"Paguma larvata"
101636,"Macaca assamensis"
101636,"Macaca assamensis ssp. pelops"
101636,"Rhinoceros unicornis"
101636,"Rhinolophus ferrumequinum"
101636,"Myotis nipalensis"
101636,"Barbastella leucomelas"
101636,"Cynopterus sphinx"
101636,"Pipistrellus coromandra"
101636,"Ovis ammon"
101636,"Equus kiang"
101636,"Ochotona macrotis"
101636,"Ochotona roylii"
101636,"Lepus oiostolus"
101636,"Mustela altaica"
101636,"Vulpes ferrilata"
101636,"Panthera uncia"
101636,"Pseudois nayaur"
101636,"Cuon alpinus"
101636,"Barbastella darjelingensis"
101636,"Plecotus wardi"
101636,"Alticola stoliczkanus"
101636,"Urocricetus alticola"
101636,"Marmota himalayana"
101636,"Rattus tanezumi"
101636,"Rattus pyctoris"
101636,"Lynx lynx"
101636,"Crocidura attenuata"
101636,"Ochotona curzoniae"
101636,"Ursus thibetanus"
101636,"Otocolobus manul"
101636,"Apodemus pallipes"
101636,"Vulpes vulpes"
101636,"Mus musculus"
101636,"Prionailurus bengalensis"
101636,"Catopuma temminckii"
101636,"Canis lupus"
101636,"Canis lupus ssp. chanco"
101636,"Martes foina"
101636,"Mustela sibirica"
101636,"Paguma larvata"
101637,"Macaca assamensis"
101637,"Macaca assamensis ssp. pelops"
101637,"Rhinoceros unicornis"
101637,"Rhinolophus ferrumequinum"
101637,"Myotis nipalensis"
101637,"Barbastella leucomelas"
101637,"Cynopterus sphinx"
101637,"Pipistrellus coromandra"
101637,"Ovis ammon"
101637,"Equus kiang"
101637,"Ochotona macrotis"
101637,"Ochotona roylii"
101637,"Lepus oiostolus"
101637,"Mustela altaica"
101637,"Vulpes ferrilata"
101637,"Panthera uncia"
101637,"Pseudois nayaur"
101637,"Cuon alpinus"
101637,"Barbastella darjelingensis"
101637,"Plecotus wardi"
101637,"Alticola stoliczkanus"
101637,"Urocricetus alticola"
101637,"Marmota himalayana"
101637,"Rattus tanezumi"
101637,"Rattus pyctoris"
101637,"Lynx lynx"
101637,"Crocidura attenuata"
101637,"Ochotona curzoniae"
101637,"Ursus thibetanus"
101637,"Otocolobus manul"
101637,"Apodemus pallipes"
101637,"Vulpes vulpes"
101637,"Mus musculus"
101637,"Felis chaus"
101637,"Prionailurus bengalensis"
101637,"Catopuma temminckii"
101637,"Canis lupus"
101637,"Canis lupus ssp. chanco"
101637,"Martes foina"
101637,"Mustela sibirica"
101637,"Paguma larvata"
101638,"Macaca assamensis"
101638,"Macaca assamensis ssp. pelops"
101638,"Rhinoceros unicornis"
101638,"Rhinolophus ferrumequinum"
101638,"Myotis nipalensis"
101638,"Barbastella leucomelas"
101638,"Cynopterus sphinx"
101638,"Pipistrellus coromandra"
101638,"Ovis ammon"
101638,"Equus kiang"
101638,"Ochotona macrotis"
101638,"Ochotona roylii"
101638,"Lepus oiostolus"
101638,"Mustela altaica"
101638,"Vulpes ferrilata"
101638,"Panthera uncia"
101638,"Pseudois nayaur"
101638,"Cuon alpinus"
101638,"Barbastella darjelingensis"
101638,"Plecotus wardi"
101638,"Alticola stoliczkanus"
101638,"Urocricetus alticola"
101638,"Marmota himalayana"
101638,"Rattus tanezumi"
101638,"Rattus pyctoris"
101638,"Lynx lynx"
101638,"Crocidura attenuata"
101638,"Ochotona curzoniae"
101638,"Ursus thibetanus"
101638,"Otocolobus manul"
101638,"Vulpes vulpes"
101638,"Mus musculus"
101638,"Felis chaus"
101638,"Prionailurus bengalensis"
101638,"Catopuma temminckii"
101638,"Canis lupus"
101638,"Canis lupus ssp. chanco"
101638,"Martes foina"
101638,"Mustela sibirica"
101638,"Paguma larvata"
101639,"Macaca assamensis"
101639,"Macaca assamensis ssp. pelops"
101639,"Rhinoceros unicornis"
101639,"Rhinolophus ferrumequinum"
101639,"Myotis nipalensis"
101639,"Barbastella leucomelas"
101639,"Myotis muricola"
101639,"Cynopterus sphinx"
101639,"Pipistrellus coromandra"
101639,"Equus kiang"
101639,"Ochotona macrotis"
101639,"Ochotona roylii"
101639,"Lepus oiostolus"
101639,"Mustela altaica"
101639,"Vulpes ferrilata"
101639,"Panthera uncia"
101639,"Pseudois nayaur"
101639,"Cuon alpinus"
101639,"Barbastella darjelingensis"
101639,"Plecotus wardi"
101639,"Alticola stoliczkanus"
101639,"Urocricetus alticola"
101639,"Marmota himalayana"
101639,"Rattus tanezumi"
101639,"Rattus pyctoris"
101639,"Lynx lynx"
101639,"Ochotona curzoniae"
101639,"Ursus thibetanus"
101639,"Otocolobus manul"
101639,"Vulpes vulpes"
101639,"Mus musculus"
101639,"Prionailurus bengalensis"
101639,"Catopuma temminckii"
101639,"Canis lupus"
101639,"Canis lupus ssp. chanco"
101639,"Martes foina"
101639,"Mustela sibirica"
101639,"Paguma larvata"
101640,"Macaca assamensis"
101640,"Macaca assamensis ssp. pelops"
