"Gridcode","species"
101637,"Limnophila sessiliflora"
101637,"Bonnaya antipoda"
101637,"Oenanthe javanica"
101637,"Drosera peltata"
101637,"Vandellia micrantha"
101637,"Hemisteptia lyrata"
101637,"Nymphaea pubescens"
101637,"Limnophila rugosa"
101637,"Hydrolea zeylanica"
101637,"Aeschynomene aspera"
101637,"Caesulia axillaris"
101637,"Hygrophila polysperma"
101637,"Hydrobryum griffithii"
101637,"Eclipta angustata"
101637,"Limnophila micrantha"
101637,"Bacopa monnieri"
101637,"Medicago sativa"
101637,"Pistacia khinjuk"
101637,"Podophyllum hexandrum"
101637,"Limnophila indica"
101637,"Grangea maderaspatana"
101637,"Sesbania bispinosa"
101637,"Nardostachys jatamansi"
101637,"Centella asiatica"
101637,"Alternanthera sessilis"
101637,"Aeschynomene indica"
101637,"Nymphaea nouchali"
101637,"Rheum australe"
101638,"Lindernia procumbens"
101638,"Limnophila sessiliflora"
101638,"Bonnaya antipoda"
101638,"Oenanthe javanica"
101638,"Drosera peltata"
101638,"Vandellia micrantha"
101638,"Hemisteptia lyrata"
101638,"Nymphaea pubescens"
101638,"Limnophila rugosa"
101638,"Hydrolea zeylanica"
101638,"Aeschynomene aspera"
101638,"Caesulia axillaris"
101638,"Hygrophila polysperma"
101638,"Hydrobryum griffithii"
101638,"Eclipta angustata"
101638,"Limnophila micrantha"
101638,"Bacopa monnieri"
101638,"Medicago sativa"
101638,"Pistacia khinjuk"
101638,"Podophyllum hexandrum"
101638,"Limnophila indica"
101638,"Grangea maderaspatana"
101638,"Sesbania bispinosa"
101638,"Nardostachys jatamansi"
101638,"Centella asiatica"
101638,"Alternanthera sessilis"
101638,"Aeschynomene indica"
101638,"Nymphaea nouchali"
101638,"Rheum australe"
101639,"Lindernia procumbens"
101639,"Limnophila sessiliflora"
101639,"Bonnaya antipoda"
101639,"Oenanthe javanica"
101639,"Drosera peltata"
101639,"Vandellia micrantha"
101639,"Hemisteptia lyrata"
101639,"Nymphaea pubescens"
101639,"Limnophila rugosa"
101639,"Hydrolea zeylanica"
101639,"Aeschynomene aspera"
101639,"Caesulia axillaris"
101639,"Hygrophila polysperma"
101639,"Hydrobryum griffithii"
101639,"Eclipta angustata"
101639,"Limnophila micrantha"
101639,"Bacopa monnieri"
101639,"Medicago sativa"
101639,"Pistacia khinjuk"
101639,"Podophyllum hexandrum"
101639,"Limnophila indica"
101639,"Grangea maderaspatana"
101639,"Sesbania bispinosa"
101639,"Nardostachys jatamansi"
101639,"Centella asiatica"
101639,"Alternanthera sessilis"
101639,"Aeschynomene indica"
101639,"Nymphaea nouchali"
101639,"Rheum australe"
101640,"Lindernia procumbens"
101640,"Limnophila sessiliflora"
101640,"Bonnaya antipoda"
101640,"Oenanthe javanica"
101640,"Drosera peltata"
101640,"Vandellia micrantha"
101640,"Hemisteptia lyrata"
101640,"Nymphaea pubescens"
101640,"Limnophila rugosa"
101640,"Hydrolea zeylanica"
101640,"Aeschynomene aspera"
101640,"Caesulia axillaris"
101640,"Hygrophila polysperma"
101640,"Hydrobryum griffithii"
101640,"Eclipta angustata"
101640,"Limnophila micrantha"
101640,"Bacopa monnieri"
101640,"Medicago sativa"
101640,"Pistacia khinjuk"
101640,"Podophyllum hexandrum"
101640,"Limnophila indica"
101640,"Grangea maderaspatana"
101640,"Sesbania bispinosa"
101640,"Nardostachys jatamansi"
101640,"Centella asiatica"
101640,"Alternanthera sessilis"
101640,"Aeschynomene indica"
101640,"Nymphaea nouchali"
101640,"Rheum australe"
101641,"Lindernia procumbens"
101641,"Limnophila sessiliflora"
101641,"Bonnaya antipoda"
101641,"Oenanthe javanica"
101641,"Drosera peltata"
101641,"Vandellia micrantha"
101641,"Hemisteptia lyrata"
101641,"Nymphaea pubescens"
101641,"Limnophila rugosa"
101641,"Hydrolea zeylanica"
101641,"Aeschynomene aspera"
101641,"Caesulia axillaris"
101641,"Hygrophila polysperma"
101641,"Hydrobryum griffithii"
101641,"Eclipta angustata"
101641,"Limnophila micrantha"
101641,"Bacopa monnieri"
101641,"Medicago sativa"
101641,"Pistacia khinjuk"
101641,"Podophyllum hexandrum"
101641,"Limnophila indica"
101641,"Grangea maderaspatana"
101641,"Sesbania bispinosa"
101641,"Nardostachys jatamansi"
101641,"Centella asiatica"
101641,"Alternanthera sessilis"
101641,"Aeschynomene indica"
101641,"Nymphaea nouchali"
101641,"Rheum australe"
101617,"Lindernia procumbens"
101617,"Limnophila sessiliflora"
101617,"Bonnaya antipoda"
101617,"Oenanthe javanica"
101617,"Drosera peltata"
101617,"Vandellia micrantha"
101617,"Hemisteptia lyrata"
101617,"Nymphaea pubescens"
101617,"Limnophila rugosa"
101617,"Hydrolea zeylanica"
101617,"Aeschynomene aspera"
101617,"Caesulia axillaris"
101617,"Hygrophila polysperma"
101617,"Hydrobryum griffithii"
101617,"Eclipta angustata"
101617,"Limnophila micrantha"
101617,"Bacopa monnieri"
101617,"Medicago sativa"
101617,"Pistacia khinjuk"
101617,"Podophyllum hexandrum"
101617,"Limnophila indica"
101617,"Grangea maderaspatana"
101617,"Sesbania bispinosa"
101617,"Nardostachys jatamansi"
101617,"Centella asiatica"
101617,"Alternanthera sessilis"
101617,"Aeschynomene indica"
101617,"Nymphaea nouchali"
101617,"Trapa natans"
101617,"Arnebia benthamii"
101617,"Rheum australe"
101618,"Lindernia procumbens"
101618,"Limnophila sessiliflora"
101618,"Bonnaya antipoda"
101618,"Oenanthe javanica"
101618,"Drosera peltata"
101618,"Vandellia micrantha"
101618,"Hemisteptia lyrata"
101618,"Nymphaea pubescens"
101618,"Limnophila rugosa"
101618,"Hydrolea zeylanica"
101618,"Aeschynomene aspera"
101618,"Caesulia axillaris"
101618,"Hygrophila polysperma"
101618,"Hydrobryum griffithii"
101618,"Eclipta angustata"
101618,"Limnophila micrantha"
101618,"Bacopa monnieri"
101618,"Medicago sativa"
101618,"Pistacia khinjuk"
101618,"Podophyllum hexandrum"
101618,"Limnophila indica"
101618,"Grangea maderaspatana"
101618,"Sesbania bispinosa"
101618,"Nardostachys jatamansi"
101618,"Centella asiatica"
101618,"Alternanthera sessilis"
101618,"Aeschynomene indica"
101618,"Nymphaea nouchali"
101618,"Trapa natans"
101618,"Arnebia benthamii"
101618,"Rheum australe"
101619,"Lindernia procumbens"
101619,"Limnophila sessiliflora"
101619,"Bonnaya antipoda"
101619,"Oenanthe javanica"
101619,"Drosera peltata"
101619,"Vandellia micrantha"
101619,"Hemisteptia lyrata"
101619,"Nymphaea pubescens"
101619,"Limnophila rugosa"
101619,"Hydrolea zeylanica"
101619,"Aeschynomene aspera"
101619,"Caesulia axillaris"
101619,"Hygrophila polysperma"
101619,"Hydrobryum griffithii"
101619,"Eclipta angustata"
101619,"Limnophila micrantha"
101619,"Bacopa monnieri"
101619,"Medicago sativa"
101619,"Pistacia khinjuk"
101619,"Podophyllum hexandrum"
101619,"Limnophila indica"
101619,"Grangea maderaspatana"
101619,"Sesbania bispinosa"
101619,"Nardostachys jatamansi"
101619,"Centella asiatica"
101619,"Alternanthera sessilis"
101619,"Aeschynomene indica"
101619,"Nymphaea nouchali"
101619,"Trapa natans"
101619,"Arnebia benthamii"
101619,"Rheum australe"
101621,"Lindernia procumbens"
101621,"Limnophila sessiliflora"
101621,"Bonnaya antipoda"
101621,"Oenanthe javanica"
